county,state,cases,population,num_physicians,yhat
Autauga,Alabama,10,55869,25,44.58495641812389
Baldwin,Alabama,23,223234,155,178.1467031993318
Barbour,Alabama,0,24686,8,19.70008831620051
Bibb,Alabama,3,22394,11,17.871011008385086
Blount,Alabama,5,57826,13,46.14669476515477
Bullock,Alabama,3,10101,3,8.060868187715359
Butler,Alabama,1,19448,5,15.520024206978349
Calhoun,Alabama,11,113605,73,90.6598287759037
Chambers,Alabama,45,33254,14,26.537581498295864
Cherokee,Alabama,2,26196,10,20.90510870660247
Chilton,Alabama,13,44428,9,35.45473238727036
Choctaw,Alabama,4,12589,5,10.046358738258455
Clarke,Alabama,2,23622,13,18.850987855678863
Clay,Alabama,3,13235,5,10.561884017860882
Cleburne,Alabama,6,14910,4,11.898578821783586
Coffee,Alabama,0,52342,28,41.77031607577441
Colbert,Alabama,4,55241,35,44.08379561999645
Conecuh,Alabama,1,12067,5,9.629788775483737
Coosa,Alabama,4,10663,9,8.509359220434499
Covington,Alabama,3,37049,19,29.566093009272976
Crenshaw,Alabama,1,13772,2,10.990424381864758
Cullman,Alabama,9,83768,46,66.84910467761016
Dale,Alabama,1,49172,9,39.24057128267891
Dallas,Alabama,3,37196,29,29.68340294131873
DeKalb,Alabama,6,71513,30,57.06928687338763
Elmore,Alabama,15,81209,21,64.80695422791571
Escambia,Alabama,1,36633,13,29.234113881850977
Etowah,Alabama,10,102268,83,81.61259952690568
Fayette,Alabama,1,16302,16,13.009432055849498
Franklin,Alabama,3,31362,14,25.027714889924667
Geneva,Alabama,0,26271,8,20.964960712748262
Greene,Alabama,4,8111,4,6.472794957980326
Hale,Alabama,1,14651,3,11.691889893893448
Henry,Alabama,0,17205,5,13.730050209844842
Houston,Alabama,9,105882,88,84.49666819638428
Jackson,Alabama,8,51626,28,41.198928923769245
Jefferson,Alabama,305,658573,709,525.5588699127084
Lamar,Alabama,1,13805,11,11.016759264568906
Lauderdale,Alabama,12,92729,47,74.00022237190946
Lawrence,Alabama,3,32924,5,26.274232671254378
Lee,Alabama,83,164542,85,131.30891726988025
Limestone,Alabama,23,98915,32,78.93681583881444
Lowndes,Alabama,1,9726,8,7.761608156986395
Macon,Alabama,2,18068,7,14.418747293895763
Madison,Alabama,107,372909,319,297.59135679761874
Marengo,Alabama,5,18863,7,15.053178559041164
Marion,Alabama,11,29709,10,23.7085766744714
Marshall,Alabama,6,96774,53,77.22824057003922
Mobile,Alabama,57,413210,278,329.75263279337327
Monroe,Alabama,3,20733,8,16.54548857894293
Montgomery,Alabama,35,226486,221,180.74188618581337
Morgan,Alabama,20,119679,58,95.5070432469643
Perry,Alabama,0,8923,3,7.1207926778521085
Pickens,Alabama,4,19930,8,15.904673099808642
Pike,Alabama,7,33114,16,26.425857753490387
Randolph,Alabama,5,22722,7,18.132763781929352
Russell,Alabama,2,57961,15,46.2544283762172
St. Clair,Alabama,17,89512,15,71.43297032162926
Shelby,Alabama,89,217702,172,173.7320192260181
Sumter,Alabama,3,12427,7,9.917078404983542
Talladega,Alabama,8,79978,25,63.8245833003761
Tallapoosa,Alabama,14,40367,20,32.21394576116284
Tuscaloosa,Alabama,30,209355,150,167.0708899553657
Walker,Alabama,32,63521,26,50.69145709849196
Washington,Alabama,3,16326,3,13.028584697816152
Wilcox,Alabama,3,10373,4,8.277931463337433
Winston,Alabama,2,23629,10,18.85657404291914
Apache,Arizona,17,71887,23,57.36774887736798
Cochise,Arizona,4,125922,68,100.48912423854009
Coconino,Arizona,85,143476,119,114.49768578365001
Gila,Arizona,1,54018,25,43.107808906445726
Graham,Arizona,2,38837,22,30.992964835788673
Greenlee,Arizona,1,9498,5,7.579658058303186
La Paz,Arizona,2,21108,6,16.844748609671893
Maricopa,Arizona,871,4485414,3579,3579.4803505923273
Mohave,Arizona,7,212181,102,169.32611354693915
Navajo,Arizona,102,110924,68,88.52031906287877
Pima,Arizona,217,1047279,863,835.7566552581283
Pinal,Arizona,65,462789,69,369.3180009627367
Santa Cruz,Arizona,3,46498,23,37.10664775689424
Yavapai,Arizona,24,235099,142,187.61529057159618
Yuma,Arizona,12,213787,98,170.60774450520773
Arkansas,Arkansas,2,17486,10,13.954295726204412
Ashley,Arkansas,2,19657,8,15.686811797437958
Baxter,Arkansas,3,41932,31,33.46285762273838
Benton,Arkansas,40,279141,161,222.76198463390287
Boone,Arkansas,3,37432,28,29.871737253990823
Bradley,Arkansas,4,10763,6,8.589161895295556
Calhoun,Arkansas,0,5189,2,4.1409607985402435
Carroll,Arkansas,1,28380,16,22.647999125567953
