geoid,county,state,cases,population,num_physicians,pct_below_median_income,pct_no_healthcare
01001,Autauga,Alabama,25,55869,25,0.4017545016819471,0.03701793100812961
01003,Baldwin,Alabama,98,223234,155,0.40773768959676004,0.05349194954363655
01005,Barbour,Alabama,13,24686,8,0.630016583747927,0.059204740082395964
01007,Bibb,Alabama,19,22394,11,0.5249646250252679,0.041178116336444796
01009,Blount,Alabama,17,57826,13,0.5005296610169492,0.05834220391539779
01011,Bullock,Alabama,8,10101,3,0.7182587666263603,0.05699152542372881
01013,Butler,Alabama,11,19448,5,0.6161661774666968,0.05351947254624563
01015,Calhoun,Alabama,62,113605,73,0.5278435442545325,0.049372562789924045
01017,Chambers,Alabama,227,33254,14,0.5865573391846634,0.057119820403775313
01019,Cherokee,Alabama,10,26196,10,0.5671031096563012,0.04349421912277482
01021,Chilton,Alabama,37,44428,9,0.5452792218681871,0.07620739863280768
01023,Choctaw,Alabama,13,12589,5,0.5683760683760684,0.060674341431439224
01025,Clarke,Alabama,22,23622,13,0.563473649320517,0.05688347002324459
01027,Clay,Alabama,14,13235,5,0.6107603623387318,0.053780703162626425
01029,Cleburne,Alabama,12,14910,4,0.5841968911917098,0.06824925816023739
01031,Coffee,Alabama,43,52342,28,0.4494588824265626,0.05314471420378513
01033,Colbert,Alabama,11,55241,35,0.5042659804983749,0.04196754818121343
01035,Conecuh,Alabama,6,12067,5,0.7007273986837548,0.07798046165816547
01037,Coosa,Alabama,20,10663,9,0.6186186186186187,0.04036186499652053
01039,Covington,Alabama,18,37049,19,0.5500790201501383,0.05926053904630269
01041,Crenshaw,Alabama,4,13772,2,0.5365070093457944,0.05240443896424168
01043,Cullman,Alabama,40,83768,46,0.5686992442379007,0.0628405138945981
01045,Dale,Alabama,13,49172,9,0.5395677737168282,0.06024812081610272
01047,Dallas,Alabama,22,37196,29,0.6467247254827717,0.06376032007279248
01049,DeKalb,Alabama,31,71513,30,0.6279259219030033,0.07830546094676821
01051,Elmore,Alabama,49,81209,21,0.408654993081731,0.042524567549664355
01053,Escambia,Alabama,11,36633,13,0.628637525873615,0.08381326010200078
01055,Etowah,Alabama,84,102268,83,0.5194536898886721,0.05506378143882663
01057,Fayette,Alabama,4,16302,16,0.6149210307564422,0.04616268675775763
01059,Franklin,Alabama,17,31362,14,0.6003635419371591,0.06830624392407006
01061,Geneva,Alabama,2,26271,8,0.5940443213296399,0.07355595667870037
01063,Greene,Alabama,19,8111,4,0.7521472392638037,0.06055998986443684
01065,Hale,Alabama,20,14651,3,0.6075842696629213,0.04583422574427072
01067,Henry,Alabama,15,17205,5,0.5367433549251731,0.06042553191489362
01069,Houston,Alabama,55,105882,88,0.5112501457272762,0.054701629789640466
01071,Jackson,Alabama,31,51626,28,0.6160305343511451,0.050645542296257076
01073,Jefferson,Alabama,628,658573,709,0.4475478657574802,0.04999823054971994
01075,Lamar,Alabama,7,13805,11,0.6125370187561698,0.04943400541220414
01077,Lauderdale,Alabama,22,92729,47,0.4773202509248834,0.04756356658213968
01079,Lawrence,Alabama,8,32924,5,0.5276139410187668,0.04253095607562466
01081,Lee,Alabama,285,164542,85,0.4465780535422963,0.04128512996437525
01083,Limestone,Alabama,38,98915,32,0.4182369218605877,0.05032055018067374
01085,Lowndes,Alabama,23,9726,8,0.6328097731239093,0.048446305775296
01087,Macon,Alabama,19,18068,7,0.5932861383877598,0.04214983533058423
01089,Madison,Alabama,194,372909,319,0.3585762319833808,0.04670443492400561
01091,Marengo,Alabama,24,18863,7,0.54725168756027,0.05020522438772459
01093,Marion,Alabama,58,29709,10,0.616819099655541,0.055479023168440826
01095,Marshall,Alabama,109,96774,53,0.5486407360936847,0.0701773301177472
01097,Mobile,Alabama,561,413210,278,0.5058166954881308,0.06175483333767011
01099,Monroe,Alabama,7,20733,8,0.6255506607929515,0.0715850434344706
01101,Montgomery,Alabama,189,226486,221,0.4973587464753543,0.05567379006465512
