county,state,cases,population,num_physicians,geoid,pct_below_median_income
Autauga,Alabama,0,55869,25,01001,0.4017545016819471
Baldwin,Alabama,0,223234,155,01003,0.40773768959676004
Barbour,Alabama,0,24686,8,01005,0.630016583747927
Bibb,Alabama,0,22394,11,01007,0.5249646250252679
Blount,Alabama,0,57826,13,01009,0.5005296610169492
Bullock,Alabama,0,10101,3,01011,0.7182587666263603
Butler,Alabama,0,19448,5,01013,0.6161661774666968
Calhoun,Alabama,0,113605,73,01015,0.5278435442545325
Chambers,Alabama,0,33254,14,01017,0.5865573391846634
Cherokee,Alabama,0,26196,10,01019,0.5671031096563012
Chilton,Alabama,0,44428,9,01021,0.5452792218681871
Choctaw,Alabama,0,12589,5,01023,0.5683760683760684
Clarke,Alabama,0,23622,13,01025,0.563473649320517
Clay,Alabama,0,13235,5,01027,0.6107603623387318
Cleburne,Alabama,0,14910,4,01029,0.5841968911917098
Coffee,Alabama,0,52342,28,01031,0.4494588824265626
Colbert,Alabama,0,55241,35,01033,0.5042659804983749
Conecuh,Alabama,0,12067,5,01035,0.7007273986837548
Coosa,Alabama,0,10663,9,01037,0.6186186186186187
Covington,Alabama,0,37049,19,01039,0.5500790201501383
Crenshaw,Alabama,0,13772,2,01041,0.5365070093457944
Cullman,Alabama,0,83768,46,01043,0.5686992442379007
Dale,Alabama,0,49172,9,01045,0.5395677737168282
Dallas,Alabama,0,37196,29,01047,0.6467247254827717
DeKalb,Alabama,0,71513,30,01049,0.6279259219030033
Elmore,Alabama,0,81209,21,01051,0.408654993081731
Escambia,Alabama,0,36633,13,01053,0.628637525873615
Etowah,Alabama,0,102268,83,01055,0.5194536898886721
Fayette,Alabama,0,16302,16,01057,0.6149210307564422
Franklin,Alabama,0,31362,14,01059,0.6003635419371591
Geneva,Alabama,0,26271,8,01061,0.5940443213296399
Greene,Alabama,0,8111,4,01063,0.7521472392638037
Hale,Alabama,0,14651,3,01065,0.6075842696629213
Henry,Alabama,0,17205,5,01067,0.5367433549251731
Houston,Alabama,0,105882,88,01069,0.5112501457272762
Jackson,Alabama,0,51626,28,01071,0.6160305343511451
Jefferson,Alabama,0,658573,709,01073,0.4475478657574802
Lamar,Alabama,0,13805,11,01075,0.6125370187561698
Lauderdale,Alabama,0,92729,47,01077,0.4773202509248834
Lawrence,Alabama,0,32924,5,01079,0.5276139410187668
Lee,Alabama,0,164542,85,01081,0.4465780535422963
Limestone,Alabama,0,98915,32,01083,0.4182369218605877
Lowndes,Alabama,0,9726,8,01085,0.6328097731239093
Macon,Alabama,0,18068,7,01087,0.5932861383877598
Madison,Alabama,0,372909,319,01089,0.3585762319833808
Marengo,Alabama,0,18863,7,01091,0.54725168756027
Marion,Alabama,0,29709,10,01093,0.616819099655541
Marshall,Alabama,0,96774,53,01095,0.5486407360936847
