county,state,cases,population,num_physicians
Autauga,Alabama,25,55869,25
Baldwin,Alabama,98,223234,155
Barbour,Alabama,13,24686,8
Bibb,Alabama,19,22394,11
Blount,Alabama,17,57826,13
Bullock,Alabama,8,10101,3
Butler,Alabama,11,19448,5
Calhoun,Alabama,62,113605,73
Chambers,Alabama,227,33254,14
Cherokee,Alabama,10,26196,10
Chilton,Alabama,37,44428,9
Choctaw,Alabama,13,12589,5
Clarke,Alabama,22,23622,13
Clay,Alabama,14,13235,5
Cleburne,Alabama,12,14910,4
Coffee,Alabama,43,52342,28
Colbert,Alabama,11,55241,35
Conecuh,Alabama,6,12067,5
Coosa,Alabama,20,10663,1
Covington,Alabama,18,37049,19
Crenshaw,Alabama,4,13772,2
Cullman,Alabama,40,83768,46
Dale,Alabama,13,49172,9
Dallas,Alabama,22,37196,29
DeKalb,Alabama,31,71513,30
Elmore,Alabama,49,81209,21
Escambia,Alabama,11,36633,13
Etowah,Alabama,84,102268,83
Fayette,Alabama,4,16302,16
Franklin,Alabama,17,31362,14
Geneva,Alabama,2,26271,8
Greene,Alabama,19,8111,4
Hale,Alabama,20,14651,3
Henry,Alabama,15,17205,5
Houston,Alabama,55,105882,88
Jackson,Alabama,31,51626,28
Jefferson,Alabama,628,658573,709
Lamar,Alabama,7,13805,1
Lauderdale,Alabama,22,92729,47
Lawrence,Alabama,8,32924,5
Lee,Alabama,285,164542,85
Limestone,Alabama,38,98915,32
Lowndes,Alabama,23,9726,1
Macon,Alabama,19,18068,7
Madison,Alabama,194,372909,319
Marengo,Alabama,24,18863,7
Marion,Alabama,58,29709,10
Marshall,Alabama,109,96774,53
Mobile,Alabama,561,413210,278
Monroe,Alabama,7,20733,8
Montgomery,Alabama,189,226486,221
Morgan,Alabama,44,119679,58
Perry,Alabama,7,8923,3
Pickens,Alabama,30,19930,8
Pike,Alabama,27,33114,16
Randolph,Alabama,45,22722,7
Russell,Alabama,31,57961,15
St. Clair,Alabama,49,89512,15
Shelby,Alabama,241,217702,172
Sumter,Alabama,30,12427,7
Talladega,Alabama,40,79978,25
Tallapoosa,Alabama,149,40367,20
Tuscaloosa,Alabama,131,209355,150
Walker,Alabama,85,63521,26
Washington,Alabama,12,16326,3
Wilcox,Alabama,38,10373,4
Winston,Alabama,7,23629,10
Apache,Arizona,110,71887,23
Cochise,Arizona,15,125922,68
Coconino,Arizona,266,143476,119
Gila,Arizona,3,54018,25
Graham,Arizona,2,38837,22
Greenlee,Arizona,2,9498,5
La Paz,Arizona,5,21108,6
Maricopa,Arizona,2146,4485414,1
Mohave,Arizona,45,212181,102
Navajo,Arizona,390,110924,68
Pima,Arizona,700,1047279,863
Pinal,Arizona,182,462789,69
Santa Cruz,Arizona,12,46498,23
Yavapai,Arizona,66,235099,142
Yuma,Arizona,18,213787,98
Arkansas,Arkansas,2,17486,10
Ashley,Arkansas,11,19657,8
Baxter,Arkansas,4,41932,31
Benton,Arkansas,62,279141,161
Boone,Arkansas,3,37432,28
Bradley,Arkansas,7,10763,6
Calhoun,Arkansas,0,5189,2
Carroll,Arkansas,2,28380,16
Chicot,Arkansas,7,10118,11
Clark,Arkansas,27,22320,10
Clay,Arkansas,1,14551,2
Cleburne,Arkansas,70,24919,14
Cleveland,Arkansas,8,7956,1
Columbia,Arkansas,4,23457,14
Conway,Arkansas,5,20846,14
Craighead,Arkansas,40,110332,124
Crawford,Arkansas,4,63257,25
Crittenden,Arkansas,122,47955,17
Cross,Arkansas,7,16419,7
Dallas,Arkansas,1,7009,3
Desha,Arkansas,6,11361,5
Drew,Arkansas,6,18219,13
Faulkner,Arkansas,59,126007,61
Franklin,Arkansas,1,17715,5
Fulton,Arkansas,0,12477,7
Garland,Arkansas,105,99386,87
Grant,Arkansas,11,18265,2
Greene,Arkansas,6,45325,26
Hempstead,Arkansas,4,21532,6
Hot Spring,Arkansas,8,33771,7
Howard,Arkansas,11,13202,6
Independence,Arkansas,6,37825,29
Izard,Arkansas,2,13629,5
Jackson,Arkansas,1,16719,7
Jefferson,Arkansas,107,66824,47
Johnson,Arkansas,18,26578,15
Lafayette,Arkansas,5,6624,2
Lawrence,Arkansas,11,16406,5
Lee,Arkansas,3,8857,1
Lincoln,Arkansas,61,13024,2
Little River,Arkansas,0,12259,3
Logan,Arkansas,2,21466,4
Lonoke,Arkansas,30,73309,12
Madison,Arkansas,1,16576,3
Marion,Arkansas,1,16694,2
Miller,Arkansas,29,43257,32
Mississippi,Arkansas,7,40651,18
Monroe,Arkansas,2,6701,3
Montgomery,Arkansas,0,8986,2
Nevada,Arkansas,1,8252,3
Newton,Arkansas,1,7753,1
Ouachita,Arkansas,5,23382,12
Perry,Arkansas,2,10455,1
Phillips,Arkansas,4,17782,10
Pike,Arkansas,2,10718,3
Poinsett,Arkansas,9,23528,4
Polk,Arkansas,6,19964,14
Pope,Arkansas,32,64072,41
Prairie,Arkansas,2,8062,1
Pulaski,Arkansas,353,391911,460
Randolph,Arkansas,9,17958,10
St. Francis,Arkansas,45,24994,12
Saline,Arkansas,35,122437,52
Scott,Arkansas,1,10281,2
Searcy,Arkansas,6,7881,2
Sebastian,Arkansas,11,127827,165
Sevier,Arkansas,8,17007,8
Sharp,Arkansas,2,17442,5
Stone,Arkansas,7,12506,6
Union,Arkansas,18,38682,22
Van Buren,Arkansas,26,16545,4
Washington,Arkansas,44,239187,187
White,Arkansas,28,78753,40
Woodruff,Arkansas,1,6320,3
Yell,Arkansas,1,21341,12
Alameda,California,983,1671329,1
Alpine,California,2,1129,0
Amador,California,6,39752,26
Butte,California,16,219186,141
Calaveras,California,9,45905,20
Colusa,California,3,21547,7
